"","Decade","Adalia bipunctata","Anatis labiculata","Anatis mali","Anisosticta bitriangularis","Brachiacantha ursina","Chilocorus stigma","Coccinella novemnotata","Coccinella septempunctata","Coccinella transversoguttata","Coccinella trifasciata","Coccinella undecimpunctata","Coleomegilla maculata","Cycloneda munda","Harmonia axyridis","Hippodamia convergens","Hippodamia glacialis","Hippodamia parenthesis","Hippodamia quindecimmaculata","Hippodamia tredecimpunctata","Hippodamia variegata","Hyperaspis undulata","Mulsantina luteodorsa","Mulsantina picta","Myzia pullata","Neoharmonia venusta","Olla v-nigrum","Propylea quatuordecimpunctata","Psyllobora vigintimaculata"
"1","1890",0,2,0,0,1,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3
"2","1900",6,1,0,0,8,18,10,0,0,0,0,11,10,0,6,1,20,2,6,0,5,0,0,0,2,0,0,2
"3","1910",8,10,0,0,19,10,21,0,0,3,0,14,4,0,14,4,12,0,5,0,3,0,0,0,0,0,0,5
"4","1920",8,4,0,5,19,6,28,0,5,5,0,32,13,0,15,3,51,0,8,0,6,0,2,0,0,0,0,8
"5","1930",49,26,5,0,111,12,41,0,4,4,0,135,28,0,131,13,102,1,82,0,28,0,16,12,63,5,0,95
"6","1940",18,36,1,0,20,5,7,0,0,0,0,11,10,0,23,4,22,0,6,0,1,0,12,5,32,0,0,11
"7","1950",22,23,5,0,27,4,28,0,4,1,1,22,16,0,30,1,20,0,4,0,3,0,3,6,13,14,0,11
"8","1960",66,27,4,0,21,17,16,0,3,5,0,71,46,0,66,1,30,0,31,0,5,0,11,1,3,0,0,9
"9","1970",15,6,3,1,6,2,13,4,25,1,0,55,32,0,37,5,29,0,5,0,2,0,3,1,1,0,0,3
"10","1980",20,18,1,0,5,13,5,47,10,0,0,263,65,0,62,2,40,0,5,0,3,0,1,1,2,1,0,51
"11","1990",6,19,0,0,3,13,0,6,0,0,0,28,10,35,1,0,0,0,0,0,2,0,0,0,1,0,0,60
"12","2000",0,1,2,0,12,7,0,19,0,0,0,9,48,199,1,3,13,0,0,4,3,1,2,3,1,1,6,61
"13","2010",0,5,2,10,4,4,0,26,0,0,0,39,20,236,14,2,14,0,3,6,0,0,1,1,1,0,21,5
